original_trip_id,origin_lat,origin_lon,dest_lat,dest_lon,bike_duration,bike_distance,walktransit_duration,walktransit_distance,n_segments_walktransit,modes_used_walktransit,multimodal_duration,multimodal_distance,n_segments_multimodal,modes_used_multimodal
7953F8859A6C53D5,42.3895243630576,-71.1169414036431,42.3508268066909,-71.0898108780384,50.7,7348,28.4,6197,5,WALK + SUBWAY + BUS,32.5,6668,7,BICYCLE + BUS + WALK + SUBWAY
796C364DBC403404,42.303443551,-71.085498929,42.3298429935181,-71.0838657245949,30.3,4280,20,4009,3,WALK + BUS,19,3929,3,BICYCLE + BUS + WALK
79914D11361A3392,42.3488038228339,-71.0823690891266,42.3465512417536,-71.1283321143128,37.1,5370,25.8,4293,5,WALK + TRAM + BUS,25.2,4437,5,BICYCLE + TRAM + WALK + BUS
799628F595B95125,42.3607929685827,-71.0711896233715,42.362647791186,-71.1000609397888,19.4,2918,16.6,3269,3,WALK + SUBWAY,19.4,2918,1,BICYCLE
79B07CCB65ABB360,42.362647791186,-71.1000609397888,42.3867480204506,-71.1190187931061,33.3,4859,16.8,3973,4,WALK + BUS + SUBWAY,18.7,4117,3,BICYCLE + SUBWAY + WALK
79B3E2F631ADCB9B,42.3602737045493,-71.1285245232739,42.356052,-71.069849,38.9,6715,36.1,6449,5,WALK + BUS + SUBWAY,35.9,6334,3,BICYCLE + SUBWAY + WALK
7A10A386E5B5890E,42.344742247728,-71.0764816217579,42.3362444479688,-71.0879856348038,10.2,1780,16.6,2304,3,WALK + SUBWAY,10.2,1780,1,BICYCLE
7A655BCE603E16FC,42.344742247728,-71.0764816217579,42.3555362848971,-71.0728687047958,18,1804,22.3,2320,3,WALK + TRAM,18,1804,1,BICYCLE
7A87A510B7EE35C6,42.331184,-71.095171,42.339202,-71.090511,7.7,1209,10.6,1345,3,WALK + SUBWAY,7.7,1209,1,BICYCLE
7AA30D9B60BAA1D6,42.3644745651806,-71.1284083128521,42.3644745651806,-71.1284083128521,0.1,322,0.4,322,1,WALK,0.1,322,1,BICYCLE
7AAA9DD232E92A62,42.348706,-71.097009,42.3495301689038,-71.1302277074174,25.6,3590,15.3,3501,3,WALK + BUS,17.3,3473,3,BICYCLE + BUS + WALK
7ABEC9BEB30ADB6F,42.349243769553,-71.0972820969255,42.3581,-71.093198,20.4,1723,14.4,2466,5,WALK + TRAM + BUS,13.9,2149,3,BICYCLE + BUS + WALK
7AC73D86861B6593,42.3533905070523,-71.0445713996887,42.3362444479688,-71.0879856348038,38.3,5563,20.2,5179,5,WALK + BUS + RAIL,22.4,5437,3,BICYCLE + RAIL + WALK
7B063E890E9ABB00,42.3334,-71.02495,42.3514819346086,-71.0443608462811,32.9,4631,25.7,3387,3,WALK + BUS,23.1,3384,3,BICYCLE + BUS + WALK
7B0FCD6B0FFD6D33,42.341605783,-71.123244405,42.3121203,-71.1142981,31.3,4782,26.1,4984,4,WALK + BUS,26.3,4968,5,BICYCLE + BUS + WALK
7B51EE6789944EBA,42.3509614442122,-71.0778281092644,42.3477634541475,-71.0453599691391,39,4925,22.6,6374,4,WALK + BUS,26.7,6435,4,BICYCLE + BUS + WALK
7B561ED9029535D0,42.3508268066909,-71.0898108780384,42.3581,-71.093198,14.5,943,6.7,1384,3,WALK + BUS,12.1,1864,3,BICYCLE + BUS + WALK
7B5E3EEC8FE3456F,42.3595732010904,-71.1012947559357,42.3595732010904,-71.1012947559357,0.1,10,0.2,87,1,WALK,0.1,10,1,BICYCLE
7B6ECB54999AF783,42.3246451094941,-71.121352314949,42.3121203,-71.1142981,14.6,2444,24.1,2373,2,WALK + BUS,11.7,2533,3,BICYCLE + BUS + WALK
7B769BD89125B148,42.3413561576735,-71.0833695345082,42.3350989929096,-71.0790377855301,8.8,1016,8.9,1079,3,WALK + BUS,8.8,1016,1,BICYCLE
7BC0E86583607170,42.349243769553,-71.0972820969255,42.3496094533306,-71.1039152369813,2.9,568,4.5,927,2,WALK + BUS,2.9,568,1,BICYCLE
7BCFDC99E47EE606,42.2773889,-71.09325,42.2922514827688,-71.0779720545361,23.5,2735,20.6,3873,4,WALK + BUS,23.5,2735,1,BICYCLE
7BD5804695974BB4,42.426541,-71.073179,42.426541,-71.073179,0.3,23,0.9,108,1,WALK,0.3,23,1,BICYCLE
7BE2A6F1A1ECB592,42.345392,-71.069616,42.331184,-71.095171,18.6,3018,21.1,3588,5,WALK + BUS + SUBWAY,18.6,3018,1,BICYCLE
7BFF50696FCAFFC2,42.333243966,-71.101131558,42.3436658245146,-71.0858237743378,16.9,2654,15.6,1946,3,WALK + BUS,16.9,2654,1,BICYCLE
7C1D91079E905DB5,42.391658,-71.080351,42.3871746334831,-71.0871438852882,11.7,1464,20.6,1389,1,WALK,11.7,1464,1,BICYCLE
7C2FA247B4CE4DCA,42.3217652572395,-71.1098416056711,42.362811,-71.056067,62.3,8100,40,7273,3,WALK + SUBWAY,33.3,7751,3,BICYCLE + SUBWAY + WALK
7C3D2BD5D66123F9,42.3581,-71.093198,42.3488038228339,-71.0823690891266,20.7,1819,13,1979,3,WALK + BUS,20.7,1819,1,BICYCLE
7C402BFB50A1CE30,42.3612572164654,-71.0652874410152,42.3488038228339,-71.0823690891266,23.2,3041,22.5,3070,4,WALK + SUBWAY + TRAM,23.2,3041,1,BICYCLE
7C41043467AA9C22,42.3895243630576,-71.1169414036431,42.3792732460084,-71.1034190283135,19.2,2148,18.3,2041,3,WALK + BUS,19.2,2148,1,BICYCLE
7C483C95C888E71E,42.349243769553,-71.0972820969255,42.3624278429124,-71.0849547386169,25,2552,21.8,4958,6,WALK + TRAM + BUS + SUBWAY,21.8,4328,3,BICYCLE + BUS + WALK
7C48592034A32B70,42.339164019,-71.069718719,42.316902,-71.091946,36.6,4507,29.7,4611,5,WALK + BUS,29.1,4471,5,BICYCLE + BUS + WALK
